indice,voltaje,label
513,0.0,extension
514,0.0,extension
515,0.0,extension
516,0.0,extension
517,0.0,extension
518,0.0,extension
519,0.0,extension
520,0.0,extension
521,0.0,extension
522,0.0,extension
523,0.0,extension
524,0.0,extension
525,0.0,extension
526,0.0,extension
527,0.0,extension
528,0.0,extension
529,0.0,extension
530,0.0,extension
531,0.0,extension
532,0.0,extension
533,0.0,extension
534,0.0,extension
535,0.0,extension
536,0.0,extension
537,0.0,extension
538,0.0,extension
539,0.0,extension
540,0.0,extension
541,0.0,extension
542,0.0,extension
543,0.0,extension
544,0.0,extension
545,0.0,extension
546,0.0,extension
547,0.0,extension
548,0.0,extension
549,0.0,extension
550,0.0,extension
551,0.0,extension
552,0.0,extension
553,0.0,extension
554,0.0,extension
555,0.0,extension
556,0.0,extension
557,0.0,extension
558,0.0,extension
559,0.0,extension
560,0.0,extension
561,0.0,extension
562,0.0,extension
563,0.0,extension
564,0.0,extension
565,0.0,extension
566,0.0,extension
567,0.0,extension
568,0.0,extension
569,0.0,extension
570,0.0,extension
571,0.0,extension
572,0.0,extension
573,0.0,extension
574,0.0,extension
575,0.0,extension
576,0.0,extension
577,0.0,extension
578,0.0,extension
579,0.0,extension
580,0.0,extension
581,0.0,extension
582,0.0,extension
583,0.0,extension
584,0.0,extension
585,0.0,extension
586,0.0,extension
587,0.0,extension
588,0.0,extension
589,0.0,extension
590,0.0,extension
591,0.0,extension
592,0.0,extension
593,0.0,extension
594,0.0,extension
595,0.0,extension
596,0.0,extension
597,0.0,extension
598,0.0,extension
599,0.0,extension
600,0.0,extension
601,0.0,extension
602,0.0,extension
603,0.0,extension
604,0.0,extension
605,0.0,extension
606,0.0,extension
607,0.0,extension
608,0.0,extension
609,0.0,extension
610,0.0,extension
611,0.0,extension
612,0.0,extension
613,0.0,extension
614,0.0,extension
615,0.0,extension
616,0.0,extension
617,0.0,extension
618,0.0,extension
619,0.0,extension
620,0.0,extension
621,0.0,extension
622,0.0,extension
623,0.0,extension
624,0.0,extension
625,0.0,extension
626,0.0,extension
627,0.0,extension
628,0.0,extension
629,0.0,extension
630,0.0,extension
631,0.0,extension
632,0.0,extension
633,0.0,extension
634,0.0,extension
635,0.0,extension
636,0.0,extension
637,0.0,extension
638,0.0,extension
639,0.0,extension
640,0.0,extension
641,0.0,extension
642,0.0,extension
643,0.0,extension
644,0.0,extension
645,0.0,extension
646,0.0,extension
647,0.0,extension
648,0.0,extension
649,0.0,extension
650,0.0,extension
651,0.0,extension
652,0.0,extension
653,0.0,extension
654,0.0,extension
655,0.0,extension
656,0.0,extension
657,0.0,extension
658,0.0,extension
659,0.0,extension
660,0.0,extension
661,0.0,extension
662,0.0,extension
663,0.0,extension
664,0.0,extension
665,0.0,extension
666,0.0,extension
667,0.0,extension
668,0.0,extension
669,0.0,extension
670,0.0,extension
671,0.0,extension
672,0.0,extension
673,0.0,extension
674,0.0,extension
675,0.0,extension
676,0.0,extension
677,0.0,extension
678,0.0,extension
679,0.0,extension
680,0.0,extension
681,0.0,extension
682,0.0,extension
683,0.0,extension
684,0.0,extension
685,0.0,extension
686,0.0,extension
687,0.0,extension
688,0.0,extension
689,0.0,extension
690,0.0,extension
691,0.0,extension
692,0.0,extension
693,0.0,extension
694,0.0,extension
695,0.0,extension
696,0.0,extension
697,0.0,extension
698,0.0,extension
699,0.0,extension
700,0.0,extension
701,0.0,extension
702,0.0,extension
703,0.0,extension
704,0.0,extension
705,0.0,extension
706,0.0,extension
707,0.0,extension
708,0.0,extension
709,0.0,extension
710,0.0,extension
711,0.0,extension
712,0.0,extension
713,0.0,extension
714,0.0,extension
715,0.0,extension
716,0.0,extension
717,0.0,extension
718,0.0,extension
719,0.0,extension
720,0.0,extension
721,0.0,extension
722,0.0,extension
723,0.0,extension
724,0.0,extension
725,0.0,extension
726,0.0,extension
727,0.0,extension
728,0.0,extension
729,0.0,extension
730,0.0,extension
731,0.0,extension
732,0.0,extension
733,0.0,extension
734,0.0,extension
735,0.0,extension
736,0.0,extension
737,0.0,extension
738,0.0,extension
739,0.0,extension
740,0.0,extension
741,0.0,extension
742,0.0,extension
743,0.0,extension
744,0.0,extension
745,0.0,extension
746,0.0,extension
747,0.0,extension
748,0.0,extension
749,0.0,extension
750,0.0,extension
751,0.0,extension
752,0.0,extension
753,0.0,extension
754,0.0,extension
755,0.0,extension
756,0.0,extension
757,0.0,extension
758,0.0,extension
759,0.0,extension
760,0.0,extension
761,0.0,extension
762,0.0,extension
763,0.0,extension
764,0.0,extension
765,0.0,extension
766,0.0,extension
767,0.0,extension
768,0.0,extension
769,0.0,extension
770,0.0,extension
771,0.0,extension
772,0.0,extension
773,0.0,extension
774,0.0,extension
775,0.0,extension
776,0.0,extension
777,0.0,extension
778,0.0,extension
779,0.0,extension
780,0.0,extension
781,0.0,extension
782,0.0,extension
783,0.0,extension
784,0.0,extension
785,0.0,extension
786,0.0,extension
787,0.0,extension
788,0.0,extension
789,0.0,extension
790,0.0,extension
791,0.0,extension
792,0.0,extension
793,0.0,extension
794,0.0,extension
795,0.0,extension
796,0.0,extension
797,0.0,extension
798,0.0,extension
799,0.0,extension
800,0.0,extension
801,0.0,extension
802,0.0,extension
803,0.0,extension
804,0.0,extension
805,0.0,extension
806,0.0,extension
807,0.0,extension
808,0.0,extension
809,0.0,extension
810,0.0,extension
811,0.0,extension
812,0.0,extension
813,0.0,extension
814,0.0,extension
815,0.0,extension
816,0.0,extension
817,0.0,extension
818,0.0,extension
819,0.0,extension
820,0.0,extension
821,0.0,extension
822,0.0,extension
823,0.0,extension
824,0.0,extension
825,0.0,extension
826,0.0,extension
827,0.0,extension
828,0.0,extension
829,0.0,extension
830,0.0,extension
831,0.0,extension
832,0.0,extension
833,0.0,extension
834,0.0,extension
835,0.0,extension
836,0.0,extension
837,0.0,extension
838,0.0,extension
839,0.0,extension
840,0.0,extension
841,0.0,extension
842,0.0,extension
843,0.0,extension
844,0.0,extension
845,0.0,extension
846,0.0,extension
847,0.0,extension
848,0.0,extension
849,0.0,extension
850,0.0,extension
851,0.0,extension
852,0.0,extension
853,0.0,extension
854,0.0,extension
855,0.0,extension
856,0.0,extension
857,0.0,extension
858,0.0,extension
859,0.0,extension
860,0.0,extension
861,0.0,extension
862,0.0,extension
863,0.0,extension
864,0.0,extension
865,0.0,extension
866,0.0,extension
867,0.0,extension
868,0.0,extension
869,0.0,extension
870,0.0,extension
871,0.0,extension
872,0.0,extension
873,0.0,extension
